범죄명,장소,발생건수
살인,단독주택,19
살인,아파트,21
살인,다세대/연립,28
살인,오피스텔(원룸),2
살인,기타거주시설(기숙사 등),4
살인,고속도로,0
살인,자동차전용도로,1
살인,일반도로,4
살인,통행로(보도/골목길),11
살인,백화점,0
살인,대형할인점,0
살인,"슈퍼마켓, 소매점",1
살인,편의점,0
살인,시장/노점,1
살인,창고(매장창고한정),0
살인,무인상점,0
살인,기타상점,2
살인,숙박업소(호텔/모텔/여관),3
살인,목욕탕/찜질방/사우나,0
살인,이발소/미용실,0
살인,마사지업소,0
살인,공중위생업소/기타,0
살인,음식점,2
살인,카페,0
살인,주점,2
살인,단란/유흥/나이트(클럽)/ 카바레,3
살인,버스터미널/정류소,1
살인,지하철역/전철역,1
살인,기차역,0
살인,여객선터미널,0
살인,공항,0
살인,버스,0
살인,택시,0
살인,자가용자동차,1
살인,지하철/전철,0
살인,기차역,0
살인,선박,0
살인,비행기,0
살인,교통수단내/기타,0
살인,공연장/극장,0
살인,체육시설,0
살인,공원/놀이시설,0
살인,게임장/pc방,0
살인,"기타(DVD방, 유원지)",0
살인,어린이집/유치원,0
살인,학교,1
살인,도서관,0
살인,학원,0
살인,기타 교육시설,0
살인,금융보험기관,0
살인,의료기관,6
살인,종교시설,1
살인,야외/산야,2
살인,해안,0
살인,폐가/공터,1
살인,공중화장실,0
살인,관공서,1
살인,군사기지/군사시설,2
살인,구금장소,0
살인,기타,26
살인,미상,3
강도,단독주택,4
강도,아파트,5
강도,다세대/연립,8
강도,오피스텔(원룸),10
강도,기타거주시설(기숙사 등),0
강도,고속도로,0
강도,자동차전용도로,0
강도,일반도로,5
강도,통행로(보도/골목길),17
강도,백화점,2
강도,대형할인점,1
강도,"슈퍼마켓, 소매점",5
강도,편의점,5
강도,시장/노점,1
강도,창고(매장창고한정),0
강도,무인상점,1
강도,기타상점,2
강도,숙박업소(호텔/모텔/여관),8
강도,목욕탕/찜질방/사우나,0
강도,이발소/미용실,0
강도,마사지업소,1
강도,공중위생업소/기타,0
강도,음식점,0
강도,카페,3
